============================================================
Training Configuration
============================================================
Dataset: cifar10
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.001
Seed: 2
Device: cuda
Log file: .\logs\train_cifar10_kan_h2048_e200_20260212_153751.txt
WandB: enabled
============================================================

Dataset: CIFAR10 | Device: cuda | Model: KAN | Params: 21,864,512

Ep 98/200 | Loss: 0.0690 | Test Loss: 0.2428 | Train: 98.6% | Test: 93.3% | Avg10: 93.4% | Best: 94.8%
Ep 99/200 | Loss: 0.0682 | Test Loss: 0.2707 | Train: 98.5% | Test: 92.9% | Avg10: 93.4% | Best: 94.8%
Ep 100/200 | Loss: 0.0713 | Test Loss: 0.2558 | Train: 98.5% | Test: 93.3% | Avg10: 93.4% | Best: 94.8%
Ep 101/200 | Loss: 0.0691 | Test Loss: 0.2559 | Train: 98.5% | Test: 93.0% | Avg10: 93.4% | Best: 94.8%
Ep 102/200 | Loss: 0.0696 | Test Loss: 0.2920 | Train: 98.5% | Test: 92.5% | Avg10: 93.3% | Best: 94.8%
Ep 103/200 | Loss: 0.0666 | Test Loss: 0.2540 | Train: 98.6% | Test: 93.3% | Avg10: 93.2% | Best: 94.8%
Ep 104/200 | Loss: 0.0677 | Test Loss: 0.2517 | Train: 98.6% | Test: 93.4% | Avg10: 93.1% | Best: 94.8%
Ep 105/200 | Loss: 0.0675 | Test Loss: 0.2550 | Train: 98.6% | Test: 93.3% | Avg10: 93.1% | Best: 94.8%
Ep 106/200 | Loss: 0.0702 | Test Loss: 0.2429 | Train: 98.5% | Test: 93.3% | Avg10: 93.2% | Best: 94.8%
Ep 107/200 | Loss: 0.0713 | Test Loss: 0.2426 | Train: 98.4% | Test: 93.4% | Avg10: 93.2% | Best: 94.8%
Ep 108/200 | Loss: 0.0704 | Test Loss: 0.2360 | Train: 98.4% | Test: 93.6% | Avg10: 93.2% | Best: 94.8%
Ep 109/200 | Loss: 0.0728 | Test Loss: 0.2708 | Train: 98.4% | Test: 92.9% | Avg10: 93.2% | Best: 94.8%
Ep 110/200 | Loss: 0.0687 | Test Loss: 0.2440 | Train: 98.6% | Test: 93.5% | Avg10: 93.2% | Best: 94.8%
Ep 111/200 | Loss: 0.0728 | Test Loss: 0.2541 | Train: 98.4% | Test: 93.2% | Avg10: 93.2% | Best: 94.8%
Ep 112/200 | Loss: 0.0727 | Test Loss: 0.2753 | Train: 98.4% | Test: 93.0% | Avg10: 93.3% | Best: 94.8%
