============================================================
Training Configuration
============================================================
Dataset: cifar10
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.01
Seed: 42
Device: cuda
Log file: .\logs\cifar10_kan_kanRegWeight0.01_lr0.01_seed42_e200_hiddenDim2048_20260306_131003.txt
WandB: enabled
============================================================

Dataset: CIFAR10 | Device: cuda | Model: KAN | Params: 21,864,512

Backbone frozen: False (requires_grad=True, BN in train mode)
Trainable parameters: 21864512 / 21864512
Ep 79/200 | Train Loss: 0.7531 | Val Loss: 0.6443 | Test Loss: 0.6443 | Train: 82.7% | Val: 78.3% | Test: 78.3% | Val-Avg10: 74.1% | Val-Best: 78.5%
Ep 80/200 | Train Loss: 0.7540 | Val Loss: 0.6349 | Test Loss: 0.6349 | Train: 82.4% | Val: 77.6% | Test: 77.6% | Val-Avg10: 74.7% | Val-Best: 78.5%
Ep 81/200 | Train Loss: 0.7599 | Val Loss: 0.8149 | Test Loss: 0.8149 | Train: 82.2% | Val: 71.3% | Test: 71.3% | Val-Avg10: 74.2% | Val-Best: 78.5%
Ep 82/200 | Train Loss: 0.7504 | Val Loss: 0.6281 | Test Loss: 0.6281 | Train: 82.6% | Val: 78.2% | Test: 78.2% | Val-Avg10: 74.9% | Val-Best: 78.5%
Ep 83/200 | Train Loss: 0.7539 | Val Loss: 0.6398 | Test Loss: 0.6398 | Train: 82.1% | Val: 77.5% | Test: 77.5% | Val-Avg10: 75.8% | Val-Best: 78.5%
Ep 84/200 | Train Loss: 0.7489 | Val Loss: 0.6287 | Test Loss: 0.6287 | Train: 82.6% | Val: 78.6% | Test: 78.6% | Val-Avg10: 76.0% | Val-Best: 78.6%
Ep 85/200 | Train Loss: 0.7443 | Val Loss: 0.6587 | Test Loss: 0.6587 | Train: 82.7% | Val: 77.1% | Test: 77.1% | Val-Avg10: 76.3% | Val-Best: 78.6%
Ep 86/200 | Train Loss: 0.7477 | Val Loss: 0.6142 | Test Loss: 0.6142 | Train: 82.7% | Val: 79.0% | Test: 79.0% | Val-Avg10: 77.1% | Val-Best: 79.0%
Ep 87/200 | Train Loss: 0.7472 | Val Loss: 0.7273 | Test Loss: 0.7273 | Train: 82.6% | Val: 75.3% | Test: 75.3% | Val-Avg10: 77.0% | Val-Best: 79.0%
Ep 88/200 | Train Loss: 0.7438 | Val Loss: 0.6542 | Test Loss: 0.6542 | Train: 82.6% | Val: 78.1% | Test: 78.1% | Val-Avg10: 77.1% | Val-Best: 79.0%
Ep 89/200 | Train Loss: 0.7457 | Val Loss: 0.6497 | Test Loss: 0.6497 | Train: 82.6% | Val: 77.4% | Test: 77.4% | Val-Avg10: 77.0% | Val-Best: 79.0%
Ep 90/200 | Train Loss: 0.7432 | Val Loss: 0.6537 | Test Loss: 0.6537 | Train: 82.8% | Val: 77.2% | Test: 77.2% | Val-Avg10: 77.0% | Val-Best: 79.0%
Ep 91/200 | Train Loss: 0.7458 | Val Loss: 0.6536 | Test Loss: 0.6536 | Train: 82.7% | Val: 76.7% | Test: 76.7% | Val-Avg10: 77.5% | Val-Best: 79.0%
Ep 92/200 | Train Loss: 0.7424 | Val Loss: 0.7361 | Test Loss: 0.7361 | Train: 82.8% | Val: 74.4% | Test: 74.4% | Val-Avg10: 77.1% | Val-Best: 79.0%
Ep 93/200 | Train Loss: 0.7408 | Val Loss: 0.7326 | Test Loss: 0.7326 | Train: 82.8% | Val: 75.1% | Test: 75.1% | Val-Avg10: 76.9% | Val-Best: 79.0%
Ep 94/200 | Train Loss: 0.7349 | Val Loss: 0.7043 | Test Loss: 0.7043 | Train: 83.0% | Val: 75.9% | Test: 75.9% | Val-Avg10: 76.6% | Val-Best: 79.0%
Ep 95/200 | Train Loss: 0.7364 | Val Loss: 0.6802 | Test Loss: 0.6802 | Train: 82.9% | Val: 76.3% | Test: 76.3% | Val-Avg10: 76.5% | Val-Best: 79.0%
Ep 96/200 | Train Loss: 0.7353 | Val Loss: 0.6553 | Test Loss: 0.6553 | Train: 83.2% | Val: 77.8% | Test: 77.8% | Val-Avg10: 76.4% | Val-Best: 79.0%
Ep 97/200 | Train Loss: 0.7344 | Val Loss: 0.7063 | Test Loss: 0.7063 | Train: 83.0% | Val: 75.9% | Test: 75.9% | Val-Avg10: 76.5% | Val-Best: 79.0%
Ep 98/200 | Train Loss: 0.7346 | Val Loss: 0.8624 | Test Loss: 0.8624 | Train: 82.9% | Val: 71.1% | Test: 71.1% | Val-Avg10: 75.8% | Val-Best: 79.0%
Ep 99/200 | Train Loss: 0.7324 | Val Loss: 0.6897 | Test Loss: 0.6897 | Train: 83.3% | Val: 76.4% | Test: 76.4% | Val-Avg10: 75.7% | Val-Best: 79.0%
Ep 100/200 | Train Loss: 0.7334 | Val Loss: 1.0890 | Test Loss: 1.0890 | Train: 83.1% | Val: 65.1% | Test: 65.1% | Val-Avg10: 74.5% | Val-Best: 79.0%
Ep 101/200 | Train Loss: 0.7300 | Val Loss: 0.6711 | Test Loss: 0.6711 | Train: 83.2% | Val: 77.6% | Test: 77.6% | Val-Avg10: 74.6% | Val-Best: 79.0%
Ep 102/200 | Train Loss: 0.7341 | Val Loss: 0.6753 | Test Loss: 0.6753 | Train: 82.8% | Val: 77.1% | Test: 77.1% | Val-Avg10: 74.8% | Val-Best: 79.0%
Ep 103/200 | Train Loss: 0.7300 | Val Loss: 0.6377 | Test Loss: 0.6377 | Train: 83.1% | Val: 78.2% | Test: 78.2% | Val-Avg10: 75.1% | Val-Best: 79.0%
Ep 104/200 | Train Loss: 0.7293 | Val Loss: 0.6055 | Test Loss: 0.6055 | Train: 83.2% | Val: 79.4% | Test: 79.4% | Val-Avg10: 75.5% | Val-Best: 79.4%
Ep 105/200 | Train Loss: 0.7256 | Val Loss: 0.6340 | Test Loss: 0.6340 | Train: 83.2% | Val: 78.2% | Test: 78.2% | Val-Avg10: 75.7% | Val-Best: 79.4%
Ep 106/200 | Train Loss: 0.7231 | Val Loss: 0.6801 | Test Loss: 0.6801 | Train: 83.4% | Val: 75.9% | Test: 75.9% | Val-Avg10: 75.5% | Val-Best: 79.4%
Ep 107/200 | Train Loss: 0.7217 | Val Loss: 0.8586 | Test Loss: 0.8586 | Train: 83.6% | Val: 72.2% | Test: 72.2% | Val-Avg10: 75.1% | Val-Best: 79.4%
Ep 108/200 | Train Loss: 0.7179 | Val Loss: 0.7168 | Test Loss: 0.7168 | Train: 83.5% | Val: 76.0% | Test: 76.0% | Val-Avg10: 75.6% | Val-Best: 79.4%
Ep 109/200 | Train Loss: 0.7162 | Val Loss: 0.8228 | Test Loss: 0.8228 | Train: 83.5% | Val: 72.0% | Test: 72.0% | Val-Avg10: 75.2% | Val-Best: 79.4%
Ep 110/200 | Train Loss: 0.7170 | Val Loss: 0.6032 | Test Loss: 0.6032 | Train: 83.5% | Val: 79.0% | Test: 79.0% | Val-Avg10: 76.6% | Val-Best: 79.4%
Ep 111/200 | Train Loss: 0.7123 | Val Loss: 0.7090 | Test Loss: 0.7090 | Train: 83.6% | Val: 76.1% | Test: 76.1% | Val-Avg10: 76.4% | Val-Best: 79.4%
Ep 112/200 | Train Loss: 0.7140 | Val Loss: 0.7143 | Test Loss: 0.7143 | Train: 83.8% | Val: 75.5% | Test: 75.5% | Val-Avg10: 76.3% | Val-Best: 79.4%
Ep 113/200 | Train Loss: 0.7129 | Val Loss: 0.6112 | Test Loss: 0.6112 | Train: 83.7% | Val: 79.1% | Test: 79.1% | Val-Avg10: 76.4% | Val-Best: 79.4%
Ep 114/200 | Train Loss: 0.7062 | Val Loss: 0.5539 | Test Loss: 0.5539 | Train: 84.0% | Val: 80.6% | Test: 80.6% | Val-Avg10: 76.5% | Val-Best: 80.6%
Ep 115/200 | Train Loss: 0.7065 | Val Loss: 0.6012 | Test Loss: 0.6012 | Train: 83.9% | Val: 79.3% | Test: 79.3% | Val-Avg10: 76.6% | Val-Best: 80.6%
Ep 116/200 | Train Loss: 0.7075 | Val Loss: 0.6447 | Test Loss: 0.6447 | Train: 84.0% | Val: 77.9% | Test: 77.9% | Val-Avg10: 76.8% | Val-Best: 80.6%
Ep 117/200 | Train Loss: 0.7081 | Val Loss: 0.8355 | Test Loss: 0.8355 | Train: 83.7% | Val: 72.6% | Test: 72.6% | Val-Avg10: 76.8% | Val-Best: 80.6%
Ep 118/200 | Train Loss: 0.7070 | Val Loss: 0.8413 | Test Loss: 0.8413 | Train: 83.9% | Val: 72.3% | Test: 72.3% | Val-Avg10: 76.5% | Val-Best: 80.6%
Ep 119/200 | Train Loss: 0.7016 | Val Loss: 0.6289 | Test Loss: 0.6289 | Train: 84.2% | Val: 78.5% | Test: 78.5% | Val-Avg10: 77.1% | Val-Best: 80.6%
Ep 120/200 | Train Loss: 0.7009 | Val Loss: 0.5589 | Test Loss: 0.5589 | Train: 84.2% | Val: 80.8% | Test: 80.8% | Val-Avg10: 77.3% | Val-Best: 80.8%
Ep 121/200 | Train Loss: 0.6958 | Val Loss: 0.7436 | Test Loss: 0.7436 | Train: 84.5% | Val: 75.2% | Test: 75.2% | Val-Avg10: 77.2% | Val-Best: 80.8%
Ep 122/200 | Train Loss: 0.6965 | Val Loss: 0.5899 | Test Loss: 0.5899 | Train: 84.3% | Val: 80.0% | Test: 80.0% | Val-Avg10: 77.6% | Val-Best: 80.8%
Ep 123/200 | Train Loss: 0.6952 | Val Loss: 0.6556 | Test Loss: 0.6556 | Train: 84.4% | Val: 78.4% | Test: 78.4% | Val-Avg10: 77.6% | Val-Best: 80.8%
Ep 124/200 | Train Loss: 0.6933 | Val Loss: 0.6171 | Test Loss: 0.6171 | Train: 84.5% | Val: 78.5% | Test: 78.5% | Val-Avg10: 77.4% | Val-Best: 80.8%
Ep 125/200 | Train Loss: 0.6917 | Val Loss: 0.5683 | Test Loss: 0.5683 | Train: 84.5% | Val: 80.2% | Test: 80.2% | Val-Avg10: 77.4% | Val-Best: 80.8%
