============================================================
Training Configuration
============================================================
Dataset: cifar10
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.01
Seed: 42
Device: cuda
Log file: .\logs\train_cifar10_kan_h2048_e200_20260207_124445.txt
============================================================

Dataset: CIFAR10 | Device: cuda | Model: KAN | Params: 21,864,512

Ep 173/200 | Loss: 0.3033 | Test Loss: 0.3535 | Train: 98.1% | Test: 91.1% | Avg10: 90.8% | Best: 91.5%
Ep 174/200 | Loss: 0.3016 | Test Loss: 0.3700 | Train: 98.2% | Test: 90.3% | Avg10: 90.8% | Best: 91.5%
Ep 175/200 | Loss: 0.3022 | Test Loss: 0.3242 | Train: 98.0% | Test: 91.6% | Avg10: 90.9% | Best: 91.6%
Ep 176/200 | Loss: 0.3007 | Test Loss: 0.3554 | Train: 98.2% | Test: 90.8% | Avg10: 90.8% | Best: 91.6%
Ep 177/200 | Loss: 0.2991 | Test Loss: 0.3905 | Train: 98.2% | Test: 89.8% | Avg10: 90.7% | Best: 91.6%
Ep 178/200 | Loss: 0.2996 | Test Loss: 0.3532 | Train: 98.2% | Test: 90.9% | Avg10: 90.9% | Best: 91.6%
Ep 179/200 | Loss: 0.2994 | Test Loss: 0.3497 | Train: 98.2% | Test: 91.0% | Avg10: 90.9% | Best: 91.6%
Ep 180/200 | Loss: 0.3010 | Test Loss: 0.3218 | Train: 98.2% | Test: 91.5% | Avg10: 90.9% | Best: 91.6%
Ep 181/200 | Loss: 0.2972 | Test Loss: 0.3245 | Train: 98.3% | Test: 91.5% | Avg10: 91.0% | Best: 91.6%
Ep 182/200 | Loss: 0.2982 | Test Loss: 0.3312 | Train: 98.2% | Test: 91.4% | Avg10: 91.0% | Best: 91.6%
Ep 183/200 | Loss: 0.2977 | Test Loss: 0.3288 | Train: 98.3% | Test: 91.5% | Avg10: 91.0% | Best: 91.6%
