============================================================
Training Configuration
============================================================
Dataset: metashift
Head: mlp
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.0
Seed: 42
Device: cuda
Log file: .\logs\train_metashift_mlp_h2048_e200_20260203_114645.txt
============================================================

Preparing MetaShift dataset (using CIFAR-10 cats and dogs as proxy)...
MetaShift proxy dataset prepared.
Dataset: METASHIFT | Device: cuda | Model: MLP | Params: 12,227,650

Ep 165/200 | Loss: 0.0513 | Test Loss: 0.8513 | Train: 98.2% | Test: 83.3% | Best: 86.5%
Ep 166/200 | Loss: 0.0487 | Test Loss: 0.7642 | Train: 98.5% | Test: 85.4% | Best: 86.5%
Ep 167/200 | Loss: 0.0478 | Test Loss: 0.7283 | Train: 98.2% | Test: 86.2% | Best: 86.5%
Ep 168/200 | Loss: 0.0473 | Test Loss: 0.7732 | Train: 98.2% | Test: 85.7% | Best: 86.5%
Ep 169/200 | Loss: 0.0432 | Test Loss: 0.7443 | Train: 98.3% | Test: 84.8% | Best: 86.5%
Ep 170/200 | Loss: 0.0360 | Test Loss: 0.6683 | Train: 98.7% | Test: 86.7% | Best: 86.7%
Ep 171/200 | Loss: 0.0373 | Test Loss: 0.8586 | Train: 98.7% | Test: 83.0% | Best: 86.7%
Ep 172/200 | Loss: 0.0391 | Test Loss: 0.7097 | Train: 98.5% | Test: 85.5% | Best: 86.7%
Ep 173/200 | Loss: 0.0497 | Test Loss: 0.7841 | Train: 98.1% | Test: 83.8% | Best: 86.7%
Ep 174/200 | Loss: 0.0394 | Test Loss: 0.6964 | Train: 98.5% | Test: 86.3% | Best: 86.7%
Ep 175/200 | Loss: 0.0417 | Test Loss: 0.8843 | Train: 98.5% | Test: 83.5% | Best: 86.7%
Ep 176/200 | Loss: 0.0463 | Test Loss: 0.7620 | Train: 98.3% | Test: 85.5% | Best: 86.7%
Ep 177/200 | Loss: 0.0488 | Test Loss: 0.7099 | Train: 98.3% | Test: 85.8% | Best: 86.7%
Ep 178/200 | Loss: 0.0397 | Test Loss: 0.7821 | Train: 98.5% | Test: 84.2% | Best: 86.7%
